case_id,trade_nm,cty_nm,st_cd,h2a_violtn_cnt,h2b_violtn_cnt,findings_start_date,year filed
1517301,Labor Camp 202,Johnston,SC,1,0,6/17/2008,2008
1488252,Triple J Ranch,Quinter,KS,1,0,5/1/2007,2007
1626619,Walnut Grove Farm LLC,Staatsburg,NY,1,0,2/15/2011,2011
1634867,Frey Produce & Frey Brothers,Keenes,IL,1,0,9/29/2011,2011
1627135,Morin Forestry,Fort Kent,ME,1,0,10/6/2009,2009
1627110,Northern Timber Trucking,Fort Kent,ME,1,0,9/21/2009,2009
1622135,"Champagne Farms, Inc.",Franklin,LA,1,0,9/2/2009,2009
1616364,B & I Farms,Charlotte,TN,1,0,4/30/2009,2009
1633806,Simmons Farms,Canonsburg,PA,1,0,3/15/2011,2011
1629902,Markowski Farms,West Suffield,CT,1,0,10/3/2009,2009
1623214,Amatos Nursery and Landscaping,Monmouth Junction,NJ,1,0,3/21/2011,2011
1622622,Carolina Bay Trail Camp,Monetta,SC,1,0,6/20/2011,2011
1587672,Triple C Farms Labor Camp I,Chesnee,SC,1,0,4/15/2010,2010
1381581,Salinger Orchards,Brewster,NY,1,0,10/12/2002,2002
1611195,"R. Hart Hudson Farms, Inc.",South Hill,VA,1,0,2/16/2011,2011
1586785,Cabbage Farm,Brodnax,VA,1,0,8/24/2008,2008
1652901,John L. Hanna,Price,UT,1,0,4/20/2010,2010
1598939,Cotswold Holdings LLC,Hudson,NY,1,0,4/10/2010,2010
1592706,Weed Orchards,Marlboro,NY,1,0,9/15/2008,2008
1602254,Holt Farms,Adams,TN,1,0,12/10/2008,2008
1589738,John Cannon Farms,Theodore,AL,1,0,10/20/2008,2008
1652052,Herbert Rouse Farms,Kinston,NC,1,0,5/1/2010,2010
1651023,"Studebaker Nurseries, Inc.",New Carlisle,OH,1,0,7/17/2010,2010
1645566,G. Lavoie Inc.,Fort Kent,ME,1,0,2/25/2010,2010
1642130,"Barajas, Manuel FLC",Lake Placid,FL,1,0,10/1/2010,2010
1626617,Soons Orchard,New Hampton,NY,1,0,1/10/2010,2010
1620452,"MSCP, INC d/b/a DELTA HARVEST",Indianola,MS,1,0,6/21/2009,2009
1572116,Barbour Fruit & Nut Farm,Byron,GA,1,0,2/2/2008,2008
1498958,Two Brothers Farms,Miami,FL,1,0,11/27/2007,2007
1581160,Cedar Valley Farms,Cedar Valley,UT,1,0,6/3/2008,2008
1558699,Torrey Farms Inc.,Elba,NY,1,0,7/1/2009,2009
1558695,J & R Fruit Farms,Hamlin,NY,1,0,7/1/2009,2009
1551433,Park Place Nursery,Solon,OH,1,0,7/31/2007,2007
1541125,Spooky Hollow Farms,Georgetown,KY,1,0,4/30/2007,2007
1493841,"P & H Forestry, LLC - Farm Division",Hermitage,AR,1,0,4/20/2006,2006
1407467,Tom Stock Harvesting,Mahnomen,MN,1,0,5/12/2004,2004
1571553,Dickey Farms,Musella,GA,1,0,1/2/2009,2009
1498037,RagApple Lassie Vineyards,Boonville,NC,1,0,1/1/2007,2007
1657247,Teddy Morgan dba Morgan Farms,Hopkinsville,KY,1,0,3/15/2010,2010
1423761,"Bailey Farms, Inc.",Oxford,NC,1,0,2/1/2005,2005
1380759,Goold Orchard,Castleton,NY,1,0,9/1/2004,2004
1692234,"Green Acres Produce, Inc.",North Judson,IN,1,0,4/1/2012,2012
1691232,Southern Vermont Orchards,Bennington,VT,1,0,4/11/2011,2011
1689130,Chappell Farms,Barnwell,SC,1,0,1/30/2012,2012
1602252,Bloomfield Farm,Gallatin,TN,1,0,12/1/2008,2008
1549158,Bentley Farms,Thorsby,AL,1,0,2/8/2008,2008
1683270,"Statewide Harvesting & Hauling, LLC ( FLC)",Dundee,FL,1,0,9/8/2012,2012
1679948,"D&K Harvesting, Inc.",Labelle,FL,1,0,12/31/2010,2010
1672307,"Hollis Orchards, a division of Lanni Orchards",Hollis,NH,1,0,10/19/2010,2010
1670392,"DMG Farms, Inc",Angier,NC,1,0,2/1/2011,2011
1668270,Charles Giordano Ranch,Winnemucca,NV,1,0,5/15/2011,2011
1667568,"Zingler, RM Jr Farms",Kendall,NY,1,0,10/12/2010,2010
1665271,Montgomery Place Orchards,Annandale on Hudson,NY,1,0,10/1/2010,2010
1660572,Lone Wolf Management,South Bay,FL,1,0,7/11/2012,2012
1659869,Scott Strawberry & Tomato Farms,Unicoi,TN,1,0,6/24/2010,2010
1657964,"McNeill Labor Management, Inc",Belle Glade,FL,1,0,12/18/2011,2011
1652701,Starbrite Farm,Andover,NJ,1,0,1/1/2011,2011
1651347,STAR Ranch,Ozona,TX,1,0,1/1/2011,2011
1545064,Douglas E. Lacks,Red Oak,VA,1,0,6/8/2007,2007
1545062,Gary R. Dalton,Red Oak,VA,1,0,6/16/2007,2007
1540755,Ammon Wholesale Nursery,Burlington,KY,1,0,4/16/2007,2007
1534922,"Overlook Harvesting Company, LLC",Winter Haven,FL,1,0,11/20/2008,2008
1533538,Standing Stone Vineyards,Hector,NY,1,0,2/16/2008,2008
1533536,"Harvest Ridge Vineyards, LLC & Associates",Ovid,NY,1,0,2/16/2008,2008
1531282,Jack Liuzza & Sons Farm,Independence,LA,1,0,1/1/2008,2008
1526622,Otisco Orchards,Marietta,NY,1,0,8/10/2008,2008
1525154,"Lawrence Farms Orchards, Inc",Newburgh,NY,1,0,1/1/2008,2008
1524193,Sierra Landscape Design,Southampton,NY,1,0,9/2/2006,2006
1518889,Coosaw Farm,Fairfax,SC,1,0,2/1/2008,2008
1517295,Satcher Camp,Johnston,SC,1,0,6/10/2008,2008
1518295,Manning Farms,South Hill,VA,1,0,7/12/2006,2006
1515265,"Hart's Greenhouse & Florist, LLC",Canterbury,CT,1,0,6/13/2006,2006
1510049,"Rosemont Vineyard and Farms, LLC",La Crosse,VA,1,0,5/11/2006,2006
1656712,Walter Allgood Farm,Baskerville,VA,1,0,6/5/2010,2010
1497112,Brackett Orchards,Limington,ME,1,0,11/2/2005,2005
1485260,Cherryfield Foods,Cherryfield,ME,1,0,8/1/2006,2006
1484141,David C. Parsons,Chatham,VA,1,0,9/1/2006,2006
1484075,Eden Farms Greenhouse,West Milford,NJ,1,0,7/16/2005,2005
1484143,Judy Pruitt,Blairs,VA,1,0,7/18/2005,2005
1475959,A. Oseguera Company Inc.,Salinas,CA,1,0,12/1/2006,2006
1654034,"Elmwood Stock Farm, LLC",Georgetown,KY,1,0,6/1/2010,2010
1475808,Horton Vineyards,Gordonsville,VA,1,0,4/24/2005,2005
1652066,"Keith Smith, AGER",Four Oaks,NC,1,0,4/12/2011,2011
1636970,"Terry & Joe Baker Farms, LLC",Norman Park,GA,1,0,11/17/2009,2009
1484514,David Mitchell,Penhook,VA,1,0,2/28/2007,2007
1495506,Twin Orchards - Sodus,Sodus,NY,1,0,10/16/2005,2005
1515652,Bishop House,Chesnee,SC,1,0,5/22/2006,2006
